id,name,area_code
1,北海道,HOK
2,青森県,AOM
3,岩手県,IWA
4,宮城県,MYG
5,秋田県,AKI
6,山形県,YMT
7,福島県,FKS
8,茨城県,IBR
9,栃木県,TCG
10,群馬県,GNM
11,埼玉県,STM
12,千葉県,CHB
13,東京都,TOK
14,神奈川県,KNG
15,新潟県,NGT
16,富山県,TOY
17,石川県,ISK
18,福井県,FKI
19,山梨県,YMN
20,長野県,NGN
21,岐阜県,GIF
22,静岡県,SZO
23,愛知県,AIC
24,三重県,MIE
25,滋賀県,SHG
26,京都府,KYO
27,大阪府,OSA
28,兵庫県,HYG
29,奈良県,NAR
30,和歌山県,WKY
31,鳥取県,TTR
32,島根県,SMN
33,岡山県,OKY
34,広島県,HRS
35,山口県,YGC
36,徳島県,TKS
37,香川県,KAG
38,愛媛県,EHM
39,高知県,KOC
40,福岡県,FUK
41,佐賀県,SGA
42,長崎県,NGS
43,熊本県,KMM
44,大分県,OIT
45,宮崎県,MYZ
46,鹿児島県,KGS
47,沖縄県,OKN
